Product_Name,Confidence_Score,Product_Count,Match_Reasoning,Polymarket_Price,Kalshi_Price,Prediction_Market_Price,Manifold_Price,Polymarket_Volume,Kalshi_Volume,Prediction_Market_Volume,Manifold_Volume,Primary_Category,Min_Price,Max_Price,Avg_Price,Price_Spread,Price_Variance,Total_Volume,Avg_Volume,Max_Volume,Platform_Count,Available_Platforms,Best_Price_Platform,Best_Price_Value,Arbitrage_Opportunity,Market_IDs
AI reaches AGI by 2030,1.0,1,Primary product,,,0.25,,,,1800000.0,,Technology,0.25,0.25,0.25,0.0,0.0,1800000.0,1800000.0,1800000.0,1,Prediction-Market,Prediction-Market,0.25,False,Prediction-Market:pm_agi_30
Trump elected president 2024?,1.0,1,Primary product,,,0.59,,,,950000.0,,Politics,0.59,0.59,0.59,0.0,0.0,950000.0,950000.0,950000.0,1,Prediction-Market,Prediction-Market,0.59,False,Prediction-Market:pm_trump_24
S&P 500 above 6000 by Dec 2025,1.0,1,Primary product,,0.72,,,,900000.0,,,Economics,0.72,0.72,0.72,0.0,0.0,900000.0,900000.0,900000.0,1,Kalshi,Kalshi,0.72,False,Kalshi:SPX-25
Ethereum above $5000 by 2025,1.0,1,Primary product,,,0.41,,,,750000.0,,Crypto,0.41,0.41,0.41,0.0,0.0,750000.0,750000.0,750000.0,1,Prediction-Market,Prediction-Market,0.41,False,Prediction-Market:pm_eth_25
Will there be a US recession in 2025?,1.0,1,Primary product,,,,0.32,,,,680000.0,Economics,0.32,0.32,0.32,0.0,0.0,680000.0,680000.0,680000.0,1,Manifold,Manifold,0.32,False,Manifold:mf_recession_25
Democrats to control US Senate in 2025,1.0,1,Primary product,,0.46,,,,600000.0,,,Politics,0.46,0.46,0.46,0.0,0.0,600000.0,600000.0,600000.0,1,Kalshi,Kalshi,0.46,False,Kalshi:SEN-24
Democratic Senate majority 2024,1.0,1,Primary product,,,0.44,,,,450000.0,,Politics,0.44,0.44,0.44,0.0,0.0,450000.0,450000.0,450000.0,1,Prediction-Market,Prediction-Market,0.44,False,Prediction-Market:pm_sen_24
(In-Game Trading) Will the 49ers beat the Packers by more than 3.5 points in their week three matchup?,1.0,1,Primary product,0.5,,,,139186.362106,,,,Sports,0.5,0.5,0.5,0.0,0.0,139186.362106,139186.362106,139186.362106,1,Polymarket,Polymarket,0.5,False,Polymarket:238885
"Will any Belarusian bank be disconnected from SWIFT by April 30, 2022?",1.0,1,Primary product,0.5,,,,99554.189894,,,,Ukraine & Russia,0.5,0.5,0.5,0.0,0.0,99554.189894,99554.189894,99554.189894,1,Polymarket,Polymarket,0.5,False,Polymarket:241899
2022 Norway Chess: Will Magnus Carlsen lose any game?,1.0,1,Primary product,0.5,,,,89615.677225,,,,Chess,0.5,0.5,0.5,0.0,0.0,89615.677225,89615.677225,89615.677225,1,Polymarket,Polymarket,0.5,False,Polymarket:245948
Will the Spurs or the Grizzlies win their NBA play-in tournament matchup?,1.0,1,Primary product,0.5,,,,66258.86449,,,,Sports,0.5,0.5,0.5,0.0,0.0,66258.86449,66258.86449,66258.86449,1,Polymarket,Polymarket,0.5,False,Polymarket:200261
"Will natural gas close above $9 on June 17, 2022?",1.0,1,Primary product,0.5,,,,41494.216853,,,,Business,0.5,0.5,0.5,0.0,0.0,41494.216853,41494.216853,41494.216853,1,Polymarket,Polymarket,0.5,False,Polymarket:246523
"Will NATO declare a No Fly-Zone over any Ukrainian territory by April 30, 2022?",1.0,1,Primary product,0.5,,,,24081.217104,,,,Ukraine & Russia,0.5,0.5,0.5,0.0,0.0,24081.217104,24081.217104,24081.217104,1,Polymarket,Polymarket,0.5,False,Polymarket:241977
NFL: Will the Chiefs beat the Bengals by more than 3.5 points in their January 2 matchup?,1.0,1,Primary product,0.5,,,,20962.32561,,,,Sports,0.5,0.5,0.5,0.0,0.0,20962.32561,20962.32561,20962.32561,1,Polymarket,Polymarket,0.5,False,Polymarket:240271
Will 'Lightyear' gross more than $90 million domestically on its opening weekend?,1.0,1,Primary product,0.5,,,,8676.659101,,,,Pop-Culture ,0.5,0.5,0.5,0.0,0.0,8676.659101,8676.659101,8676.659101,1,Polymarket,Polymarket,0.5,False,Polymarket:246547
NBA: Will the Heat beat the Wizards by more than 7.5 points in their November 18th matchup?,1.0,1,Primary product,0.5,,,,7793.964103,,,,Sports,0.5,0.5,0.5,0.0,0.0,7793.964103,7793.964103,7793.964103,1,Polymarket,Polymarket,0.5,False,Polymarket:239496
NFL: Will the Falcons beat the Panthers by more than 3.5 points in their October 31st matchup?,1.0,1,Primary product,0.5,,,,5332.423556,,,,Sports,0.5,0.5,0.5,0.0,0.0,5332.423556,5332.423556,5332.423556,1,Polymarket,Polymarket,0.5,False,Polymarket:239167
Will the floor price of 'We Are All Going to Die' be above 1 ETH on June 14?,1.0,1,Primary product,0.5,,,,3722.43965,,,,NFTs,0.5,0.5,0.5,0.0,0.0,3722.43965,3722.43965,3722.43965,1,Polymarket,Polymarket,0.5,False,Polymarket:246499
Republican wins 2024 election,0.79,2,Rule-based matching: 0.8 keyword + 0.77 sequence similarity,,0.58,,0.61,,1200000.0,,1100000.0,Politics,0.58,0.61,0.595,0.030000000000000027,0.0002250000000000004,2300000.0,1150000.0,1200000.0,2,"Kalshi, Manifold",Manifold,0.61,False,Kalshi:PRES-24 | Manifold:mf_gop_24
NFL: Will the Jaguars beat the Texans by more than 3.5 points in their December 19 matchup?,0.734,2,Rule-based matching: 0.67 keyword + 0.89 sequence similarity,0.5,,,,1255.634123,,,,Sports,0.5,0.5,0.5,0.0,0.0,1255.634123,1255.634123,1255.634123,1,Polymarket,Polymarket,0.5,False,Polymarket:240067
NBA: Will the Clippers beat the Celtics by more than 2.5 points in their December 8 matchup?,0.723,2,Rule-based matching: 0.67 keyword + 0.86 sequence similarity,0.5,,,,1335.045385,,,,Sports,0.5,0.5,0.5,0.0,0.0,1335.045385,1335.045385,1335.045385,1,Polymarket,Polymarket,0.5,False,Polymarket:239826
